42 ns: U U UUUU UUUU UUUU
12726 ns: 1 0 1111 0000 0000
12768 ns: 1 0 1111 0000 0000
12810 ns: 1 0 1111 0000 0000
12852 ns: 1 0 1111 0000 0000
12894 ns: 1 0 1111 0000 0000
12936 ns: 1 0 1111 0000 0000
12978 ns: 1 0 1111 0000 0000
13020 ns: 1 0 1111 0000 0000
13062 ns: 1 0 1111 0000 0000
13104 ns: 1 0 1111 0000 0000
13146 ns: 1 0 1111 0000 0000
13188 ns: 1 0 1111 0000 0000
13230 ns: 1 0 1111 0000 0000
13272 ns: 1 0 1111 0000 0000
13314 ns: 1 0 1111 0000 0000
13356 ns: 1 0 1111 0000 0000
13398 ns: 1 0 1111 0000 0000
13440 ns: 1 0 1111 0000 0000
13482 ns: 1 0 1111 0000 0000
13524 ns: 1 0 1111 0000 0000
13566 ns: 1 0 1111 0000 0000
13608 ns: 1 0 1111 0000 0000
13650 ns: 1 0 1111 0000 0000
13692 ns: 1 0 1111 0000 0000
13734 ns: 1 0 1111 0000 0000
13776 ns: 1 0 1111 0000 0000
13818 ns: 1 0 1111 0000 0000
13860 ns: 1 0 1111 0000 0000
13902 ns: 1 0 1111 0000 0000
13944 ns: 1 0 1111 0000 0000
13986 ns: 1 0 1111 0000 0000
14028 ns: 1 0 1111 0000 0000
14070 ns: 1 0 1111 0000 0000
14112 ns: 1 0 1111 0000 0000
14154 ns: 1 0 1111 0000 0000
14196 ns: 1 0 1111 0000 0000
14238 ns: 1 0 1111 0000 0000
14280 ns: 1 0 1111 0000 0000
14322 ns: 1 0 1111 0000 0000
14364 ns: 1 0 1111 0000 0000
14406 ns: 1 0 1111 0000 0000
14448 ns: 1 0 1111 0000 0000
14490 ns: 1 0 1111 0000 0000
14532 ns: 1 0 1111 0000 0000
14574 ns: 1 0 1111 0000 0000
14616 ns: 1 0 1111 0000 0000
14658 ns: 1 0 1111 0000 0000
14700 ns: 1 0 1111 0000 0000
14742 ns: 1 0 1111 0000 0000
14784 ns: 1 0 1111 0000 0000
14826 ns: 1 0 1111 0000 0000
14868 ns: 1 0 1111 0000 0000
14910 ns: 1 0 1111 0000 0000
14952 ns: 1 0 1111 0000 0000
14994 ns: 1 0 1111 0000 0000
15036 ns: 1 0 1111 0000 0000
15078 ns: 1 0 1111 0000 0000
15120 ns: 1 0 1111 0000 0000
15162 ns: 1 0 1111 0000 0000
15204 ns: 1 0 1111 0000 0000
15246 ns: 1 0 1111 0000 0000
15288 ns: 1 0 1111 0000 0000
15330 ns: 1 0 1111 0000 0000
15372 ns: 1 0 1111 0000 0000
15414 ns: 1 0 1111 0000 0000
15456 ns: 1 0 1111 0000 0000
15498 ns: 1 0 1111 0000 0000
15540 ns: 1 0 1111 0000 0000
15582 ns: 1 0 1111 0000 0000
15624 ns: 1 0 1111 0000 0000
15666 ns: 1 0 1111 0000 0000
15708 ns: 1 0 1111 0000 0000
15750 ns: 1 0 1111 0000 0000
15792 ns: 1 0 1111 0000 0000
15834 ns: 1 0 1111 0000 0000
15876 ns: 1 0 1111 0000 0000
15918 ns: 1 0 1111 0000 0000
15960 ns: 1 0 1111 0000 0000
16002 ns: 1 0 1111 0000 0000
16044 ns: 1 0 1111 0000 0000
16086 ns: 1 0 1111 0000 0000
16128 ns: 1 0 1111 0000 0000
16170 ns: 1 0 1111 0000 0000
16212 ns: 1 0 1111 0000 0000
16254 ns: 1 0 1111 0000 0000
16296 ns: 1 0 1111 0000 0000
16338 ns: 1 0 1111 0000 0000
16380 ns: 1 0 1111 0000 0000
16422 ns: 1 0 1111 0000 0000
16464 ns: 1 0 1111 0000 0000
16506 ns: 1 0 1111 0000 0000
16548 ns: 1 0 1111 0000 0000
16590 ns: 1 0 1111 0000 0000
16632 ns: 1 0 1111 0000 0000
16674 ns: 1 0 1111 0000 0000
16716 ns: 1 0 1111 0000 0000
16758 ns: 1 0 1111 0000 0000
16800 ns: 1 0 1111 0000 0000
16842 ns: 1 0 1111 0000 0000
16884 ns: 1 0 1111 0000 0000
16926 ns: 1 0 1111 0000 0000
16968 ns: 1 0 1111 0000 0000
17010 ns: 1 0 1111 0000 0000
17052 ns: 1 0 1111 0000 0000
17094 ns: 1 0 1111 0000 0000
17136 ns: 1 0 1111 0000 0000
17178 ns: 1 0 1111 0000 0000
17220 ns: 1 0 1111 0000 0000
17262 ns: 1 0 1111 0000 0000
17304 ns: 1 0 1111 0000 0000
17346 ns: 1 0 1111 0000 0000
17388 ns: 1 0 1111 0000 0000
